,user,date created,number of likes,retweets,source of tweet,tweet,clean_text,topics
0,DiEM_25,2022-11-07,55460,17928,Twitter Web App,The world's elite have arrived at #COP27 on hundreds of private jets to lecture you about climate change. Sponsored by Coca-Cola.,world 's elite arrived hundreds private jets lecture climate change sponsored coca cola ,5_private_jets_cola_coca
1,RishiSunak,2022-11-07,38526,2389,Twitter Web App,Friends Partners Allies Great to meet with  today at #COP27.,friends partners allies great meet today ,4_cop_today_due_work
2,_david_ho_,2022-11-07,22782,4326,Twitter for iPhone,"At this point, maybe we should ask women for help. #COP27",point maybe ask women help ,-1_climate_minister_world_president
3,JamesMelville,2022-11-06,21759,5467,Twitter for iPhone,Climate change will ravage our planet without urgent action.~Rishi Sunak #COP27,climate change ravage planet without urgent action rishi sunak,0_climate_must_change_world
4,antonioguterres,2022-11-07,19139,7355,Twitter for iPhone,I have just warned global leaders at #COP27:We are on a highway to climate hell with our foot on the accelerator.Our planet is fast approaching tipping points that will make climate chaos irreversible.We need urgent #ClimateAction.,warned global leaders highway climate hell foot accelerator our planet fast approaching tipping points make climate chaos irreversible we need urgent ,0_climate_must_change_world
5,ClimateHuman,2022-11-01,16551,4929,Twitter Web App,Rich people flying private jets to UN talks sponsored by Coca Cola that give the fossil fuel industry a huge seat at the table while criminalizing climate activists is NOT the way to stop irreversible catastrophic fossil-fueled global heating. #COP27,rich people flying private jets un talks sponsored coca cola give fossil fuel industry huge seat table criminalizing climate activists way stop irreversible catastrophic fossil fueled global heating ,5_private_jets_cola_coca
6,JamesMelville,2022-11-06,13981,5426,Twitter for iPhone,"COP27 is sponsored by Coca-Cola - the worlds top plastic polluter, who produce 120 billion throwaway plastic bottles a year.#COP27 #Greenwash",cop sponsored coca cola worlds top plastic polluter produce billion throwaway plastic bottles year ,5_private_jets_cola_coca
7,DrEliDavid,2022-11-04,11261,4827,Twitter for Android,Over 400 private jets with world leaders flying to #COP27 climate summit to discuss how to reduce carbon emission , private jets world leaders flying climate summit discuss reduce carbon emission,5_private_jets_cola_coca
8,sana2,2022-11-06,8055,3458,Twitter for Android,"My brother just had his last glass of water in prison. Please keep his story alive, it's not over. He can be saved.This afternoon I'm flying to Sharm, I have a civil society pass. The Egyptian regime claims civic space exists in #COP27 , I'll be testing that.#FreeAlaa",brother last glass water prison please keep story alive 's saved this afternoon 'm flying sharm civil society pass egyptian regime claims civic space exists 'll testing ,3_alaa_strike_prison_water
9,CMShehbaz,2022-11-06,7697,839,Twitter for iPhone,Off to Egypt to attend #COP27,egypt attend,1_egypt_climate_crisis_russia
10,visegrad24,2022-11-06,7493,1129,Twitter for iPhone,Incoming reports of Polish journalists and business leaders plying the Ukrainian national anthem on their phones whenever they spot a group of Russians at the #COP27 UN Climate Summit starting in Egypt.The Russians arent happy.,incoming reports polish journalists business leaders plying ukrainian national anthem phones whenever spot group russians un climate summit starting egypt the russians arent happy ,1_egypt_climate_crisis_russia
11,PrisonPlanet,2022-11-07,7382,2362,Twitter for iPhone,This is the dude who will be lecturing you about your carbon footprint at #COP27,dude lecturing carbon footprint,-1_climate_minister_world_president
12,mikegalsworthy,2022-11-02,7058,421,Twitter for iPhone,Finally! #COP27 And also great to see you keeping up the Conservative tradition of regular U-turns. ,finally also great see keeping conservative tradition regular u turns ,-1_climate_minister_world_president
13,CarolineLucas,2022-11-06,6951,2093,TweetDeck,"Oliver Dowden's claim that PM is ""personally committed"" to climate action is ludicrous - shamed into going to #COP27, he plans huge new oil and gas extraction, has failed to meet financial pledges to climate vulnerable countries, and removed climate ministers from Cabinet #kuenssberg",oliver dowden 's claim pm personally committed '' climate action ludicrous shamed going plans huge new oil gas extraction failed meet financial pledges climate vulnerable countries removed climate ministers cabinet,-1_climate_minister_world_president
14,CarolineLucas,2022-11-07,6656,1930,Twitter for iPhone,"PM has no credibility when he urges others at #COP27 to keep Glasgow commitments when his own Govt hasnt met finance pledges, hasnt raised ambition of UK emission cuts, is continuing fossil fuel subsidies, wont rule out new coal and is greenlighting more oil and gas #WalkTheTalk",pm credibility urges others keep glasgow commitments govt hasnt met finance pledges hasnt raised ambition uk emission cuts continuing fossil fuel subsidies wont rule new coal greenlighting oil gas,0_climate_must_change_world
15,Parody_PM,2022-11-02,6560,898,Twitter Web App,I have made a dramatic U-turn from not giving a toss about climate change to being forced to pretend I give a toss about climate change.#COP27,made dramatic u turn giving toss climate change forced pretend give toss climate change ,0_climate_must_change_world
16,CarolineLucas,2022-11-07,6396,2171,Twitter Web App,"Rishi Sunak trumpets his plan for ""investing in renewables"" - is this the same plan that includes banning onshore wind, blocks new solar farms, and a windfall tax with a gigantic loophole for continued climate-wrecking fossil fuel investment? #COP27",rishi sunak trumpets plan investing renewables '' plan includes banning onshore wind blocks new solar farms windfall tax gigantic loophole continued climate wrecking fossil fuel investment ,0_climate_must_change_world
17,JamesMelville,2022-11-06,6238,1987,Twitter for iPhone,Hypocrisy.#COP27,hypocrisy ,-1_climate_minister_world_president
18,peter_mcgahan,2022-11-07,5575,2299,Adobe Express,"Do as we say, but not as we do.#COP27",say ,0_climate_must_change_world
19,antonioguterres,2022-11-07,5441,1506,TweetDeck,The climate crisis is the fight of our lives - and we are losing.But one thing is certain: those that give up are sure to lose.So lets fight on together.And lets win.#COP27,climate crisis fight lives losing but one thing certain give sure lose so lets fight together and lets win ,-1_climate_minister_world_president
20,iihtishamm,2022-11-07,5226,1351,Twitter for iPhone,The man in the last row is our PM. His country suffered the most recently due to climate change. #COP27,man last row pm country suffered recently due climate change ,1_egypt_climate_crisis_russia
21,AngelaRayner,2022-11-07,5118,673,Twitter for iPhone,"You had to be dragged kicking and screaming into showing up at all. When real leadership is required at home and abroad, we have a weak and wobbly Prime Minister on a day trip.#COP27",dragged kicking screaming showing real leadership required home abroad weak wobbly prime minister day trip ,-1_climate_minister_world_president
22,edking_I,2022-11-06,4613,882,Twitter Web App,"Simple, effective message on Pakistan pavilion at #COP27.",simple effective message pakistan pavilion ,-1_climate_minister_world_president
23,CarolineLucas,2022-11-07,4586,1361,Twitter Web App,"How on Earth can Rishi Sunak claim he's ""delivering"" on #climateemergency? Under his ""leadership"" we've seen climate ministers booted from cabinet, a swathe of new oil and gas licences, failure to rule out Cumbria coal mine and flip-flopping on even attending #COP27 at all",earth rishi sunak claim 's delivering '' leadership '' 've seen climate ministers booted cabinet swathe new oil gas licences failure rule cumbria coal mine flip flopping even attending,0_climate_must_change_world
24,Iberdrola_En,2022-11-07,4585,300,Twitter Web App, #climatechange demands URGENT action from everyone. Renewables are the solution to the climate and energy crises.  Let's accelerate the energy transition NOW. #COP27,demands urgent action everyone renewables solution climate energy crises let 's accelerate energy transition ,0_climate_must_change_world
